part	chpt	file	pkg
1	1	eda.qmd	here
1	1	eda.qmd	knitr
1	1	eda.qmd	tidyverse
1	1	eda.qmd	UsingR
1	2	conditioning.qmd	here
1	2	conditioning.qmd	knitr
1	2	conditioning.qmd	tidyverse
1	2	conditioning.qmd	UsingR
1	3	clustering.qmd	dbscan
1	3	clustering.qmd	GGally
1	3	clustering.qmd	here
1	3	clustering.qmd	ISLR2
1	3	clustering.qmd	knitr
1	3	clustering.qmd	tidyverse
1	4	simulation.qmd	here
1	4	simulation.qmd	knitr
1	4	simulation.qmd	tidyverse
1	5	study-design.qmd	here
1	5	study-design.qmd	knitr
1	5	study-design.qmd	tidyverse
1	6	info-theory.qmd	here
1	6	info-theory.qmd	knitr
1	6	info-theory.qmd	tidyverse
2	7	lin-reg.qmd	knitr
2	7	lin-reg.qmd	scatterplot3d
2	7	lin-reg.qmd	tidyverse
2	8	pca.qmd	beans
2	8	pca.qmd	Cairo
2	8	pca.qmd	conflicted
2	8	pca.qmd	corrplot
2	8	pca.qmd	GGally
2	8	pca.qmd	HistData
2	8	pca.qmd	here
2	8	pca.qmd	ISLR2
2	8	pca.qmd	knitr
2	8	pca.qmd	MASS
2	8	pca.qmd	mclust
2	8	pca.qmd	patchwork
2	8	pca.qmd	plot3D
2	8	pca.qmd	pracma
2	8	pca.qmd	tidymodels
2	8	pca.qmd	tidyverse
2	9	lin-discr.qmd	Cairo
2	9	lin-discr.qmd	conflicted
2	9	lin-discr.qmd	corrplot
2	9	lin-discr.qmd	discrim
2	9	lin-discr.qmd	GGally
2	9	lin-discr.qmd	here
2	9	lin-discr.qmd	knitr
2	9	lin-discr.qmd	MASS
2	9	lin-discr.qmd	mclust
2	9	lin-discr.qmd	patchwork
2	9	lin-discr.qmd	plotly
2	9	lin-discr.qmd	pracma
2	9	lin-discr.qmd	rlang
2	9	lin-discr.qmd	tidymodels
2	9	lin-discr.qmd	tidyverse
3	10	text-as-data.qmd	here
3	10	text-as-data.qmd	janeaustenr
3	10	text-as-data.qmd	knitr
3	10	text-as-data.qmd	quanteda
3	10	text-as-data.qmd	tidytext
3	10	text-as-data.qmd	tidyverse
3	10	text-as-data.qmd	tm
3	11	topic-models.qmd	here
3	11	topic-models.qmd	knitr
3	11	topic-models.qmd	tidytext
3	11	topic-models.qmd	tidyverse
3	11	topic-models.qmd	tm
3	11	topic-models.qmd	topicmodels
4	12	ts-data.qmd	astsa
4	12	ts-data.qmd	here
4	12	ts-data.qmd	knitr
4	12	ts-data.qmd	tidyverse
4	13	ts-time-domain.qmd	astsa
4	13	ts-time-domain.qmd	here
4	13	ts-time-domain.qmd	knitr
4	13	ts-time-domain.qmd	tidyverse
4	14	ts-freq-domain.qmd	astsa
4	14	ts-freq-domain.qmd	here
4	14	ts-freq-domain.qmd	knitr
4	14	ts-freq-domain.qmd	tidyverse
5	15	graph-theory.qmd	here
5	15	graph-theory.qmd	igraph
5	15	graph-theory.qmd	knitr
5	15	graph-theory.qmd	tidyverse
6	16	mcmc-appendix.qmd	astsa
6	16	mcmc-appendix.qmd	tidyverse
6	17	em-algorithm.qmd	here
6	17	em-algorithm.qmd	knitr
6	17	em-algorithm.qmd	mixtools
6	17	em-algorithm.qmd	tidyverse
